bsu_id,bsu_desc,eco_id,eco_desc,pao_id,pao_desc,spn_id,spn_desc
"gltA","glutamate synthase (large subunit)","gltB","glutamate synthase, large subunit","gltB","glutamate synthase subunit alpha",NA,NA
"ydaF","putative ribosomal protein N-acetyltransferase","rimL","ribosomal-protein-L12-serine acetyltransferase","PA3248","orf","SP_0255","acetyltransferase"
"guaB","inosine-monophosphate dehydrogenase","guaB","","guaB","inosine 5'-monophosphate dehydrogenase","SP_2228","inosine 5'-monophosphate dehydrogenase"
"ffh","signal recognition particle-like (SRP) GTPase","ffh","protein component of the signal recognition particle (SRP)","ffh","signal recognition particle protein Ffh","SP_1287","signal recognition particle protein"
"recA","multifunctional SOS repair factor","recA","DNA strand exchange and recombination protein with protease and nuclease activity","recA","recombinase A","recA","recombinase A"
"topB","DNA topoisomerase III","topB","DNA topoisomerase III",NA,NA,NA,NA
"nupP","putative permease of ABC transporter",NA,NA,"PA0137","ABC transporter permease","SP_0847","sugar ABC transporter permease"
"yesJ","putative acetyltransferase",NA,NA,NA,NA,"SP_1464","acetyltransferase"
"yfhC","putative oxidoreductase (nitroreductase family)","ydjA","predicted oxidoreductase","PA3208","orf",NA,NA
"yvrB","putative vitamin B12 permease",NA,NA,"PA2914","ABC transporter permease",NA,NA
"ywtG","putative carbohydrate transporter","galP","galactose:",NA,NA,NA,NA
"resA","extracytoplasmic thioredoxin involved in cytochrome c maturation (lipoprotein)",NA,NA,NA,NA,"SP_1000","thioredoxin"
"greA","transcription elongation factor","greA","transcription elongation factor GreA","greA","transcription elongation factor GreA","greA","transcription elongation factor GreA"
"cwlQ","bifunctional muramidase and soluble-lytic transglycosylase",NA,NA,"PA3020","soluble lytic transglycosylase",NA,NA
"proA","gamma-glutamyl phosphate reductase","proA","","proA","gamma-glutamyl phosphate reductase","proA","gamma-glutamyl phosphate reductase"
"arsR","transcriptional regulator (ArsR family)","arsR","",NA,NA,NA,NA
"yrrL","conserved hypothetical protein","yceG","protein involved in cytokinesis","PA2963","orf","SP_1518","orf"
"yjbO","pseudouridylate synthase",NA,NA,NA,NA,"SP_1099","ribosomal large subunit pseudouridine synthase D"
"yycB","putative anion ABC transporter (permease)","yeaN","putative amino acid/amine MFS transporter","PA1626","major facilitator superfamily (MFS) transporter","SP_0101","transporter"
"metE","cobalamin-independent methionine synthase","metE","cobalamin-independent homocysteine transmethylase","metE","5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase","SP_0585","5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase"
"thiO","glycine oxidase monomer","dadA","D-amino acid dehydrogenase","PA4548","D-amino acid oxidase",NA,NA
"ybbA","putative iron-chelator esterase","fes","enterochelin esterase","PA2451","orf","SP_0882","orf"
"ycgJ","putative methyltransferase","yafE","predicted S-adenosylmethionine-dependent methyltransferase","PA3119","orf",NA,NA
"yuiH","putative sulfite oxidase","yedY","reductase","PA4882","orf",NA,NA
"yfnB","putative hydrolase","yjjG","pyrimidine nucleotidase",NA,NA,"SP_1171","HAD superfamily hydrolase"
"yloV","putative dihydroxyacetone/glyceraldehyde kinase",NA,NA,NA,NA,"SP_0443","orf"
"ftsH","cell-division protein and general stress protein (class III heat-shock)","ftsH","ATP-dependent zinc metalloprotease FtsH","ftsH","cell division protein FtsH","SP_0013","cell division protein FtsH"
"ytpA","phospholipase component of bacilysocin synthesis or export","ynbC","predicted hydrolase","PA2540","orf",NA,NA
"gmuA","oligo-α-mannoside phosphotransferase system enzyme IIA",NA,NA,NA,NA,"SP_2024","PTS system transporter subunit IIA"
"yvcT","putative 2-hydroxyacid dehydrogenase","ghrB","","PA3896","2-hydroxyacid dehydrogenase",NA,NA
"spsC","putative glutamine-dependent sugar transaminase","arnB","UDP-L-Ara4O C-4' transaminase","arnB","UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase","SP_1837","capsular polysaccharide biosynthesis protein"
"ptpZ","protein tyrosine-phosphatase",NA,NA,NA,NA,"SP_0347","capsular polysaccharide biosynthesis protein Cps4B"
"yoqW","conserved hypothetical protein; putative general secretion pathway protein; phage SPbeta","yedK","predicted protein","PA4634","orf",NA,NA
"yvcN","putative acetyltransferase","nhoA","arylamin","PA4827","arylamine N-acetyltransferase",NA,NA
"yktA","conserved hypothetical protein",NA,NA,NA,NA,"SP_1404","orf"
"comGC","pilin-like component of the DNA transport membrane platform",NA,NA,NA,NA,"SP_2051","competence protein CglC"
"fliE","flagellar basal body protein","fliE","flagellar basal-body protein FliE","fliE","flagellar hook-basal body protein FliE",NA,NA
"lytS","LytS two-component sensory histidine kinase, phosphorylated","ypdA","YbdA sensory histidine kinase - phosphorylated",NA,NA,NA,NA
"pspA","phage shock protein A homolog","pspA","regulatory protein for the phage shock protein operon","PA3731","orf",NA,NA
"gcaD","UDP-N-acetylglucosamine pyrophosphorylase","glmU","","glmU","glucosamine-1-phosphate acetyltransferase/N-acetylglucosamine-1-phosphate uridyltransferase","glmU","bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase"
"ybxG","putative amino acid permease","yifK","YifK APC transporter",NA,NA,NA,NA
"iolW","scyllo-inositol dehydrogenase","ydgJ","predicted oxidoreductase","PA5149","orf",NA,NA
"bacE","efflux protein for bacilysin excretion, self-protection against bacilysin","lplT","lysophospholipid transporter",NA,NA,NA,NA
"bglH","aryl-phospho-beta-d-glucosidase","bglB","6-phospho-β-glucosidase B; cryptic",NA,NA,"SP_0578","6-phospho-beta-glucosidase"
"mfd","transcription-repair coupling factor","mfd","transcription-repair coupling factor","mfd","transcription-repair coupling protein Mfd","SP_0006","transcription-repair coupling factor"
"ripX","site-specific tyrosine recombinase for chromosome partitioning","xerD","site-specific recombinase","xerD","site-specific tyrosine recombinase XerD",NA,NA
"ispG","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)","ispG","1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase","gcpE","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase",NA,NA
"ylbL","putative degradative enzyme",NA,NA,NA,NA,"SP_1967","orf"
"ruvB","Holliday junction DNA helicase, ATP-dependent component","ruvB","branch migration of Holliday structures; repair helicase","ruvB","Holliday junction DNA helicase RuvB","ruvB","Holliday junction DNA helicase RuvB"
"ogt","O6-alkylguanine DNA alkyltransferase","ogt","O6-alkylguanine-DNA-alkyltransferase","ogt","methylated-DNA--protein-cysteine methyltransferase",NA,NA
"nudF","ADP-ribose pyrophosphatase","nudK","GDP-mannose hydrolase","aspP","adenosine diphosphate sugar pyrophosphatase","SP_0989","MutT/nudix family protein"
"nfrA","FMN-containing NADPH-linked nitro/flavin reductase","nfsA","NADPH nitroreductase",NA,NA,NA,NA
"glpD","glycerol-3-phosphate oxidase","glpD","","PA3025","FAD-dependent glycerol-3-phosphate dehydrogenase","SP_2185","orf"
"qoxB","cytochrome aa3-600 quinol oxidase (subunit I)","cyoB","cytochrom","cyoB","cytochrome o ubiquinol oxidase subunit I",NA,NA
"mta","transcriptional regulator (MerR family)",NA,NA,NA,NA,"SP_0739","MerR family transcriptional regulator"
"pucD","xanthine dehydrogenase, substrate and molybdenum cofactor subunit","xdhA","xanthine dehydrogenase subunit","xdhB","xanthine dehydrogenase",NA,NA
"panD","aspartate 1-decarboxylase","panD","PanD β cleavage product","panD","aspartate alpha-decarboxylase",NA,NA
"ureB","urease (beta subunit)",NA,NA,"ureB","urease subunit beta",NA,NA
"bshA","L-malate glycosyltransferase","wcaL","predicted colanic biosynthesis glycosyl transferase","PA5004","glycosyl transferase","SP_1076","group 1 glycosyl transferase"
"yesF","conserved hypothetical protein","ytfG","NAD(P)H:quinone oxidoreductase",NA,NA,NA,NA
"alsT","amino acid carrier protein","yaaJ","inner membrane protein YaaJ","PA3641","amino acid permease",NA,NA
"ysxC","GTPase involved in ribosome 50S subunit assembly","yihA","cell division protein; predicted checkpoint GTPase","PA5492","ribosome biogenesis GTP-binding protein YsxC","engB","ribosome biogenesis GTP-binding protein YsxC"
"ylxR","putative RNA binding protein; putative new fold",NA,NA,NA,NA,"SP_0554","orf"
"ytnP","putative metal-dependent hydrolase",NA,NA,"PA4200","orf",NA,NA
"patA","aminotransferase",NA,NA,NA,NA,"SP_0035","aromatic amino acid aminotransferase"
"yitB","putative phospho-adenylylsulfate sulfotransferase",NA,NA,"cysH","phosphoadenosine phosphosulfate reductase",NA,NA
"yugU","conserved hypothetical protein","yjbQ","conserved protein","PA5286","orf",NA,NA
"truB","tRNA pseudouridine 55 synthase","truB","tRNA pseudouridine 55 synthase","truB","tRNA pseudouridine synthase B","truB","tRNA pseudouridine synthase B"
"prfA","peptide chain release factor 1","prfA","peptide chain release factor RF1","prfA","peptide chain release factor 1","prfA","peptide chain release factor 1"
"ispF","2-C-methyl-D-erythritol-2,4-cyclodiphosphate synthase","ispF","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase monomer","ygbB","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",NA,NA
"ycbD","2,5-dioxovalerate dehydrogenase (alpha-ketoglutaric semialdehyde dehydrogenase)",NA,NA,NA,NA,"SP_1119","glyceraldehyde-3-phosphate dehydrogenase"
"degS","DegS two-component sensory histidine kinase, phosphorylated",NA,NA,"PA0600","two-component sensor",NA,NA
"malP","phosphotransferase system (PTS) maltose-specific enzyme IICB component","glvC","",NA,NA,NA,NA
"tdk","thymidine kinase","tdk","thymidine kinase / deoxyuridine kinase",NA,NA,"SP_1018","thymidine kinase"
"rlmB","23S rRNA methyltransferase","rlmB","23S rRNA 2'","PA4936","rRNA methylase","SP_1457","spoU rRNA methylase"
"tuaG","putative glycosyltransferase","wcaA","predicted colanic acid biosynthesis glycosyl transferase",NA,NA,NA,NA
"mdxG","maltodextrin ABC transporter (permease)",NA,NA,NA,NA,"SP_2110","maltodextrin ABC transporter permease"
"levG","phosphotransferase system (PTS) fructose-specific enzyme IID component","manZ","mannose PTS permease - ManZ subunit",NA,NA,"SP_0282","PTS system mannose-specific transporter subunit IID"
"iolR","transcriptional regulator (DeoR family)",NA,NA,"glpR","glycerol-3-phosphate regulon repressor",NA,NA
"acuB","component of the acetoin degradation regulation pathway",NA,NA,"PA1854","orf",NA,NA
"fabF","beta-ketoacyl-acyl carrier protein synthase II","fabF","","fabF1","3-oxoacyl-(acyl carrier protein) synthase II","SP_0422","3-oxoacyl-ACP synthase"
"pyrAA","pyrimidine-specific carbamoyl-phosphate synthetase (small subunit, glutaminase subunit)","carA","","carA","carbamoyl phosphate synthase small subunit","SP_1276","carbamoyl phosphate synthase small subunit"
"comEB","putative enzyme associated to DNA transport (competence)",NA,NA,NA,NA,"SP_0744","cytidine and deoxycytidylate deaminase"
"aroA","3-deoxy-D-arabino-heptulosonate 7-phosphate synthase; chorismate mutase-isozyme 3","kdsA","3-deoxy-D","kdsA","2-dehydro-3-deoxyphosphooctonate aldolase",NA,NA
"araB","L-ribulokinase","araB","L-ribulokinase monomer",NA,NA,NA,NA
"appB","oligopeptide ABC transporter (permease)","dppB","dipeptide ABC transporter - putative membrane subunit","PA4503","ABC transporter permease",NA,NA
"rplR","ribosomal protein L18","rplR","50S ribosomal subunit protein L18","rplR","50S ribosomal protein L18","rplR","50S ribosomal protein L18"
"pyrE","orotate phosphoribosyltransferase","pyrE","","pyrE","orotate phosphoribosyltransferase","pyrE","orotate phosphoribosyltransferase"
"adk","adenylate kinase","adk","adenylate kinase","adk","adenylate kinase","adk","adenylate kinase"
"bioK","lysine-8-amino-7-oxononanoate aminotransferase","bioA","adenosylmethionine-8-amino-7-oxononanoate aminotransferase monomer","bioA","adenosylmethionine--8-amino-7-oxononanoate transaminase",NA,NA
"bmrC","ABC transporter (ATP-binding protein) involved in the signalling pathway that activates KinA during sporulation initiation","mdlA","predicted multidrug transporter subunit of ABC superfamily: ATP-binding component",NA,NA,"SP_1840","ABC transporter ATP-binding protein/permease"
"licA","phosphotransferase system (PTS) lichenan-specific enzyme IIA component","chbA","chitobiose / cellobiose PTS permease - ChbA subunit",NA,NA,"celC","cellobiose phosphotransferase system IIA component"
"aag","3-alkylated purines and hypoxanthine DNA glycosidase",NA,NA,"PA4010","3-methyladenine DNA glycosylase",NA,NA
"dhbE","2,3-dihydroxybenzoate-AMP ligase (enterobactin synthetase component E)","entE","","pchD","pyochelin biosynthesis protein PchD",NA,NA
"yusV","iron(III)-siderophore transporter (ATP binding component)","fepC","ferric enterobactin ABC transporter - ATP binding subunit","fepC","ferric enterobactin transporter FepC","SP_1035","iron-compound ABC transporter ATP-binding protein"
"fni","isopentenyl diphosphate isomerase","lldD","L-lactate dehydrogenase","lldD","L-lactate dehydrogenase","SP_0384","isopentenyl pyrophosphate isomerase"
"yshB","putative integral inner membrane protein",NA,NA,NA,NA,"SP_0405","orf"
"sipT","type I signal peptidase","lepB","leader peptidase (signal peptidase I)","lepB","signal peptidase I",NA,NA
"ysgA","putative RNA methylase",NA,NA,NA,NA,"SP_1973","spoU rRNA methylase"
"htrA","membrane bound serine protease Do, quality control protease (heat-shock protein)","degQ","serine endoprotease, periplasmic",NA,NA,NA,NA
"dppD","dipeptide ABC transporter (ATP-binding protein)","oppD","murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit",NA,NA,NA,NA
"dctB","C4-dicarboxylate binding protein","yiaO","2,3-diketo-L-gulonate:N","PA5167","c4-dicarboxylate-binding protein",NA,NA
"yfhO","conserved hypothetical protein",NA,NA,NA,NA,"SP_2231","ABC transporter permease"
"rbsB","ribose ABC transporter (ribose-binding lipoprotein)","rbsB","ribose ABC transporter - putative periplasmic binding protein","rbsB","binding protein component precursor of ABC ribose transporter",NA,NA
"ribD","fused diaminohydroxyphosphoribosylaminopyrimidine deaminase; 5-amino-6-(5-phosphoribosylamino) uracil reductase","ribD","fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","ribD","riboflavin-specific deaminase/reductase","SP_0178","riboflavin biosynthesis protein RibD"
"glnM","glutamine ABC transporter (permease)",NA,NA,"PA4194","ABC transporter permease","SP_0608","amino acid ABC transporter permease"
"speD","S-adenosylmethionine decarboxylase",NA,NA,"PA4773","orf",NA,NA
"ilvA","threonine dehydratase","ilvA","","ilvA1","threonine dehydratase","SP_0450","threonine dehydratase"
"ykoH","two-component sensor histidine kinase [YkoG]",NA,NA,NA,NA,"SP_0799","sensor histidine kinase CiaH"
"pstC","phosphate ABC transporter (permease)","pstC","phosphate ABC transporter - membrane subunit","pstA","membrane protein component of ABC phosphate transporter","SP_1399","phosphate ABC transporter permease"
"trmU","tRNA (5-methylaminomethyl-2-thiouridylate) methyltransferase","mnmA","tRNA-specific 2-thiouridylase","trmU","tRNA-specific 2-thiouridylase MnmA","mnmA","tRNA-specific 2-thiouridylase MnmA"
"coaE","dephosphocoenzyme A kinase","coaE","dephospho-CoA kinase","coaE","dephospho-CoA kinase","coaE","dephospho-CoA kinase"
"asnO","asparagine synthetase",NA,NA,"PA2084","asparagine synthetase",NA,NA
"thyB","thymidylate synthase B","thyA","thymidylate synthase","thyA","thymidylate synthase",NA,NA
"csaA","molecular chaperone",NA,NA,"csaA","CsaA protein",NA,NA
"blt","efflux transporter",NA,NA,"PA1131","major facilitator superfamily (MFS) transporter",NA,NA
"yybF","putative permease","ynfM","predicted transport protein YnfM","PA5030","major facilitator superfamily (MFS) transporter",NA,NA
"nasE","assimilatory nitrite reductase subunit",NA,NA,"nirD","assimilatory nitrite reductase small subunit",NA,NA
"paiA","polyamine N-acetyltransferase",NA,NA,NA,NA,"SP_0580","acetyltransferase"
"yhcB","putative oxidoreductase associated to oxygen stress","wrbA","NAD(P)H:quinone oxidoreductase","wrbA","Trp repressor binding protein WrbA",NA,NA
"yisX","conserved hypothetical protein","yjcF","conserved protein","PA2461","orf",NA,NA
"ydiF","putative ABC transporter (ATP-binding protein)","yheS","fused predicted transporter subunits of ABC superfamily: ATP-binding components",NA,NA,"SP_1114","ABC transporter ATP-binding protein"
"kduI","4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase, 5-keto-4-deoxyuronate isomerase","kduI","predicted 5-keto 4-deoxyuronate isomerase monomer",NA,NA,NA,NA
"yfmD","iron-dicitrate ABC transporter (permease)","fecC","ferric dicitrate ABC transporter - membrane subunit",NA,NA,"SP_1033","iron ABC transporter permease"
"fabZ","(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase","fabZ","","fabZ","(3R)-hydroxymyristoyl-ACP dehydratase","fabZ","(3R)-hydroxymyristoyl-ACP dehydratase"
"folEB","GTP cyclohydrolase I",NA,NA,"PA5539","GTP cyclohydrolase",NA,NA
"yhcG","putative ABC transporter ATP-binding protein",NA,NA,NA,NA,"SP_1715","orf"
"hisI","phosphoribosyl-AMP cyclohydrolase; phosphoribosyl-ATP pyrophosphohydrolase","hisI","phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphatase","hisI","phosphoribosyl-AMP cyclohydrolase",NA,NA
"gpsB","cell division protein",NA,NA,NA,NA,"SP_0372","orf"
"sknR","putative transcriptional regulator (Xre family); skin element",NA,NA,"PA0048","transcriptional regulator",NA,NA
"yhjQ","putative ferredoxin",NA,NA,"PA2107","orf",NA,NA
"yjgC","putative oxidoreductase","fdhF","formate dehydrogenase H",NA,NA,NA,NA
"trmE","tRNA modification GTPase","mnmE","GTPase, involved in modification of U34 in tRNA","PA5567","tRNA modification GTPase TrmE","trmE","tRNA modification GTPase TrmE"
"yqgS","lipoteichoic acid synthase","ydeN","putative sulfatase","PA1689","orf",NA,NA
"sbcC","DNA ATP-dependent repair enzyme","sbcC","ATP-dependent dsDNA exonuclease","PA4282","exonuclease",NA,NA
"glpT","glycerol-3-phosphate permease","glpT","glycerol-3-phosphate:phosphate antiporter","glpT","sn-glycerol-3-phosphate transporter",NA,NA
"yuaI","putative acetyl-transferase",NA,NA,NA,NA,"SP_1236","acetyltransferase"
"flhB","component of the flagellar export machinery","flhB","flagellar biosynthesis protein FlhB","flhB","flagellar biosynthesis protein FlhB",NA,NA
"gbsB","choline dehydrogenase","yiaY","predicted Fe-containing alcohol dehydrogenase","PA1991","iron-containing alcohol dehydrogenase","SP_2157","iron-containing alcohol dehydrogenase"
"guaA","GMP synthetase","guaA","GMP synthetase","guaA","GMP synthase","guaA","GMP synthase"
"hprT","hypoxanthine-guanine phosphoribosyltransferase","hpt","hypoxanthine-guanine phosphoribosyltransferase","PA4645","hypoxanthine-guanine phosphoribosyltransferase","SP_0012","hypoxanthine-guanine phosphoribosyltransferase"
"kamA","lysine 2,3-aminomutase","epmB","lysine 2,3-aminomutase",NA,NA,NA,NA
"sigA","RNA polymerase major sigma-43 factor (sigma-A)","rpoD","RNA polymerase, sigma 70 (sigma D) factor","rpoD","RNA polymerase sigma factor RpoD","SP_1073","RNA polymerase sigma factor RpoD"
"cccB","cytochrome c551",NA,NA,"nirM","cytochrome C-551 precursor",NA,NA
"yitJ","homocysteine S-methyltransferase using (R,S)AdoMet and methylenetetrahydrofolate reductase [NAD(P)H]","metH","cobalamin-dependent methionine synthase","metH","B12-dependent methionine synthase","SP_0586","5,10-methylenetetrahydrofolate reductase"
"ywdK","conserved hypothetical protein","ygdD","conserved inner membrane protein","PA0379","orf",NA,NA
"yxeN","putative ABC transporter (permease)",NA,NA,NA,NA,"SP_1461","amino acid ABC transporter permease"
"folEA","GTP cyclohydrolase I","folE","GTP cyclohydrolase I monomer","folE2","GTP cyclohydrolase I","folE","GTP cyclohydrolase I"
"murB","UDP-N-acetylenolpyruvoylglucosamine reductase","murB","UDP","murB","UDP-N-acetylenolpyruvoylglucosamine reductase","murB","UDP-N-acetylenolpyruvoylglucosamine reductase"
"sodC","superoxide dismutase (exported lipoprotein)","sodC","superoxide dismutase (Cu-Zn)",NA,NA,NA,NA
"ackA","acetate kinase","tdcD","propionate kinase","ackA","acetate kinase","SP_2044","acetate kinase"
"queC","pre","queC","7-cyano-7-deazaguanine synthase","PA0976","orf",NA,NA
"rplJ","ribosomal protein L10 (BL5)","rplJ","50S ribosomal subunit protein L10","rplJ","50S ribosomal protein L10","rplJ","50S ribosomal protein L10"
"ftsA","cell-division protein essential fo Z-ring assembly","ftsA","essential cell division protein FtsA","ftsA","cell division protein FtsA","SP_1667","cell division protein FtsA"
"rplU","ribosomal protein L21 (BL20)","rplU","50S ribosomal subunit protein L21","rplU","50S ribosomal protein L21","rplU","50S ribosomal protein L21"
"citR","transcriptional regulator CitR (LysR family)","ydcI","putative transcriptional regulator LysR-type",NA,NA,NA,NA
"thiE","thiamin phosphate synthase","thiE","thiamine phosphate synthase","thiE","thiamine-phosphate pyrophosphorylase","SP_0718","thiamine-phosphate pyrophosphorylase"
"yclJ","two-component response regulator [YclK]","ompR","OmpR-Phosphorylated",NA,NA,NA,NA
"frlB","fructosevaline-6-phosphate deglycase","frlB","fructoselysine 6-phosphate deglycase monomer",NA,NA,NA,NA
"bkdR","transcriptional regulator",NA,NA,"PA2005","transcriptional regulator",NA,NA
"ywbF","putative sugar permease","lacY","lactose / melibiose:","PA1682","MFS metabolite transporter",NA,NA
"yhdI","putative PLP-dependent transcriptional regulator",NA,NA,"PA0268","transcriptional regulator",NA,NA
"ganR","transcriptional regulator (LacI family)",NA,NA,NA,NA,"SP_1854","galactose operon repressor"
"atpA","ATP synthase (subunit alpha, component F1)","atpA","ATP synthase ","atpA","F0F1 ATP synthase subunit alpha","SP_1510","ATP synthase F0F1 subunit alpha"
"mmgC","short chain acyl-CoA dehydrogenase",NA,NA,"PA2552","acyl-CoA dehydrogenase",NA,NA
"trpB","tryptophan synthase (beta subunit)","trpB","tryptophan synthase, β subunit","trpB","tryptophan synthase subunit beta","SP_1812","tryptophan synthase subunit beta"
"ykuL","conserved hypothetical protein",NA,NA,NA,NA,"SP_1878","orf"
"yrpC","glutamate racemase",NA,NA,"murI","glutamate racemase",NA,NA
"rph","ribonuclease PH","rph","RNase PH monomer","rph","ribonuclease PH",NA,NA
"dapH","tetrahydrodipicolinate N-acetyltransferase","dapD","tetrahydrodipicolinate succinylase",NA,NA,"SP_2097","2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase"
"dacC","D-alanyl-D-alanine carboxypeptidase","dacB","","PA3047","D-alanyl-D-alanine carboxypeptidase",NA,NA
"yfiN","putative ABC transporter (permease)","ybhS","",NA,NA,NA,NA
"ybbH","putative transcriptional regulator","yebK","predicted DNA-binding transcriptional regulator","PA5438","transcriptional regulator","SP_1674","phosphosugar-binding transcriptional regulator"
"pcp","pyrrolidone-carboxylate peptidase",NA,NA,NA,NA,"SP_0860","pyrrolidone-carboxylate peptidase"
"yfiS","putative efflux transporter",NA,NA,"PA3465","orf",NA,NA
"ywiE","cardiolipin synthetase",NA,NA,"cls","cardiolipin synthetase","SP_0199","cardiolipin synthetase"
"fatR","transcriptional regulator for cypB",NA,NA,"PA1836","transcriptional regulator",NA,NA
"yxbF","putative transcriptional regulator",NA,NA,NA,NA,"SP_1858","TetR family transcriptional regulator"
"aroD","shikimate 5-dehydrogenase","ydiB","","aroE","shikimate 5-dehydrogenase","aroE","shikimate 5-dehydrogenase"
"yesE","conserved hypothetical protein",NA,NA,"PA3332","orf",NA,NA
"tagE","UDP-glucose:polyglycerol phosphate alpha-glucosyltransferase",NA,NA,NA,NA,"SP_1758","group 1 glycosyl transferase"
"fmnP","riboflavin-proton symporter",NA,NA,NA,NA,"SP_0488","orf"
"oppF","oligopeptide ABC transporter (ATP-binding protein)",NA,NA,NA,NA,"SP_1887","oligopeptide ABC transporter ATP-binding protein AmiF"
"ykhA","putative acyl-CoA hydrolase","yciA","acyl-CoA thioesterase","PA3741","orf",NA,NA
"scoA","succinyl CoA:3-oxoacid CoA-transferase (subunit A)","atoD","acetyl-CoA:acetoacetyl-CoA transferase, α subunit","dhcA","DhcA, dehydrocarnitine CoA transferase, subunit A",NA,NA
"mtnN","methylthioadenosine / S-adenosylhomocysteine nucleosidase","mtn","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase monomer",NA,NA,"SP_0991","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"
"mecA","adaptor protein controlling oligomerization of the AAA+ protein ClpC",NA,NA,NA,NA,"SP_1362","adaptor protein"
"ytwF","putative sulfur transferase","glpE","",NA,NA,NA,NA
"ykkB","putative N-acetyltransferase",NA,NA,"PA3944","orf",NA,NA
"amyX","pullulanase","glgX","glycogen phosphorylase-limit dextrin α-1,6-glucohydrolase","PA2160","glycosyl hydrolase","SP_1118","pullulanase"
"ytxB","putative integral inner membrane protein","ydjX","predicted inner membrane protein",NA,NA,NA,NA
"rpsI","ribosomal protein S9","rpsI","30S ribosomal subunit protein S9","rpsI","30S ribosomal protein S9","rpsI","30S ribosomal protein S9"
"rsmB","RNA-binding Sun protein; 16S rRNA m5C967 methyltransferase, S-adenosyl-L-methionine-dependent","rsmB","16S rRNA ","PA0017","orf","SP_1734","rRNA methyltransferase RsmB"
"ydgJ","putative transcriptional regulator (MarR family)","slyA","SlyA DNA-binding transcriptional activator",NA,NA,"SP_2062","MarR family transcriptional regulator"
"yetM","putative hydroxylase/monooxygenase",NA,NA,"phzS","orf",NA,NA
"yabO","putative ribosomal RNA binding protein; heat shock protein","hslR","heat shock protein Hsp15 involved in ribosome recycling","PA5195","heat shock protein","SP_0007","S4 domain-containing protein"
"ytrF","metabolite permease",NA,NA,"PA2988","orf",NA,NA
"cydB","cytochrome bd ubiquinol oxidase (subunit II)","cydB","cytochrom","cioB","cyanide insensitive terminal oxidase",NA,NA
"rocG","glutamate dehydrogenase","gdhA","","gdhA","glutamate dehydrogenase","SP_1306","glutamate dehydrogenase"
"ydhI","putative acetyltransferase","ypeA","predicted acyltransferase with acyl-CoA N-acyltransferase domain",NA,NA,NA,NA
"yhbH","factor involved in shape determination (sporulation)","yeaH","conserved protein","PA0587","orf",NA,NA
"yxkH","putative exported polysaccharide deacetylase, lipoprotein","yadE","predicted polysaccharide deacetylase lipoprotein",NA,NA,NA,NA
"rbgA","ribosome biogenesis GTPase A",NA,NA,NA,NA,"rbgA","ribosomal biogenesis GTPase"
"araQ","arabinose/arabinan permease",NA,NA,NA,NA,"SP_1681","sugar ABC transporter permease"
"bioY","biotin transporter",NA,NA,NA,NA,"SP_0783","orf"
"ykzG","conserved hypothetical protein; UPF0356, DUF1447 family",NA,NA,NA,NA,"SP_0122","orf"
"sinR","transcriptional regulator for post-exponential-phase response","ydcN","predicted DNA-binding transcriptional regulator","PA1884","transcriptional regulator",NA,NA
"sucD","succinyl-CoA synthetase (alpha subunit)","sucD","succinyl-CoA synthetase, α subunit","sucD","succinyl-CoA synthetase subunit alpha",NA,NA
"yazA","putative UvrC-Intron-type (URI) endonuclease","yhbQ","predicted endonuclease","PA3854","GIY-YIG nuclease superfamily protein","SP_1535","orf"
"clpQ","two-component ATP-dependent protease (N-terminal serine protease)","hslV","peptidase component of the HslVU protease","hslV","ATP-dependent protease peptidase subunit",NA,NA
"yabE","putative cell wall shaping enzyme",NA,NA,NA,NA,"SP_0498","endo-beta-N-acetylglucosaminidase"
"murF","UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate-D-alanyl-D-alanine ligase","murF","D-alanyl-D-alanine-adding enzyme","murF","UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanyl ligase","SP_1670","UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanyl ligase"
"cysI","sulfite reductase (hemoprotein beta-subunit)","cysI","sulfite reductase, hemoprotein subunit","PA4130","sulfite or nitrite reductase",NA,NA
